"","hr_rfs_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_rfs_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"464",1209172.34268201,0,Inf,0.991442400388596,6.58701656560736,3.96033166427506,10.9558468617623,3.81289412317757e-13
"465",8.0319820786684,2.98720263394871,21.5963709253873,3.65176004845601e-05,2.79433864942197,2.08082883327801,3.75250879014044,8.41811911148245e-12
"466",4.01009738347941,2.58758197668721,6.21463635543489,5.18581257992685e-10,3.93802312548556,3.06967733164151,5.05200529612869,4.07573798780538e-27
"467",4.12970097498214,2.68609718364234,6.34914858875011,1.0297468914724e-10,3.79172514579547,2.91410312488332,4.93365504415132,3.31140405605969e-23
"468",6.93733595842807,1.72495947299299,27.9001512520142,0.00637622809475732,3.69591823279188,2.65356812007095,5.14771468656257,1.05054756214068e-14
"469",6.63306282035979,2.94631229048234,14.9330817785227,4.88381072799982e-06,6.23013544567372,4.21349867524255,9.21196152250023,4.82949550778835e-20
"470",4.39751572396562,3.11135898073051,6.21533698370751,4.86010973999396e-17,4.84858997402668,3.05308098232729,7.70003313777542,2.2382767781941e-11
"471",5.50214364122996,3.54708688224258,8.53477392963869,2.68670665186778e-14,3.8920465401119,2.48607624274825,6.09314630417429,2.81241934467811e-09
"472",3.88410460593301,2.84110798992217,5.30999477786246,1.81792088237459e-17,5.28302120148541,4.0777952640241,6.84446157990816,2.14358877396951e-36
"473",4.9014378050657,3.67770745409484,6.5323555113603,2.08150512028617e-27,4.02866261494014,3.0871695333431,5.25728253331157,1.06389191579215e-24
"474",2.50398058627717,1.87322461955089,3.34712597251482,5.68988686012699e-10,4.06287877798102,2.97842124137984,5.54219253315601,8.81618273241904e-19
"475",3.63186283030835,2.57077300459578,5.13091883048202,2.56070648820382e-13,4.19474956843151,3.11592388959978,5.64709683718124,3.31269134103419e-21
"476",4.03759944472788,2.78221190385171,5.85944199774937,2.05278192424254e-13,4.28706881949477,3.21904809794494,5.70943909624014,2.344328851744e-23
"477",3.6507270425683,2.72511899743526,4.89072512131871,3.97517555260503e-18,4.52081894072534,3.47260086912786,5.88544571203598,3.65662136437341e-29
"478",4.18672067963931,2.28197641623758,7.68133707456095,3.75473640133743e-06,3.0686058303742,2.36896977293454,3.97486783064444,2.02449469746285e-17
"479",9403098.35001137,0,Inf,0.98882570998544,5.87476933289162,4.03475482341388,8.55390630290686,2.54099081984704e-20
"480",4.63205118986348,3.54584298780328,6.05100065042871,2.48318572597266e-29,3.58681854971051,2.76450727016146,4.65372887509029,7.01017527828364e-22
"481",2.85070580272219,2.07108141425208,3.92380691447066,1.30700206862721e-10,3.85320264186471,2.94122043913739,5.04796254021261,1.25572748103754e-22
"482",7.61026249375537,3.58646654970289,16.1485111937424,1.24182862760143e-07,6.21900865376136,4.55076647554228,8.49880318918144,1.880485686551e-30
"483",2.63179489152029,2.05258593104553,3.37444793237191,2.34499408351643e-14,3.21781033326455,2.46976881964503,4.19241803463705,4.81575934389017e-18
"484",3.80105077668375,2.69445932560335,5.36210989330593,2.825597983853e-14,4.31593833486742,2.85038128774993,6.5350287663032,4.89720036270253e-12
"485",7.31723856804119,1.02629581526402,52.1701243104606,0.0470485362521093,7.04465997099413,2.62242063223318,18.9242082284358,0.000107866925518472
"486",3.60154141499215,2.66347057178948,4.86999957922902,8.55047798980859e-17,2.53747761650799,1.89126811652659,3.40448432351529,5.32155302003325e-10
"487",3.7754154294217,2.70971329504933,5.26024716000662,4.13623712462876e-15,2.09654069350702,1.55085665044235,2.83422899097552,1.48903709008134e-06
"488",1.66765468115589,0.530819352905865,5.23920637097484,0.381239586764409,3.52344850457479,0.493979448951562,25.1319956543529,0.208969803622348
