"","hr_os_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_os_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"639",4.38420315253509,2.87276981511093,6.69083794378299,7.24786488587161e-12,6.78479880458975,2.17711967071697,21.1442188676761,0.000961820988276655
"640",2.40410990616325,1.95957986331635,2.94948144197133,4.13113140232662e-17,2.68696301916833,2.19001869330914,3.29667061218965,2.71811642070667e-21
"641",2.58410163784774,2.09055710632595,3.19416353397919,1.64513628039494e-18,3.06477787916461,2.19884211160907,4.27173165323053,3.81990999260381e-11
"642",3.13458341006558,1.39858544521117,7.02539354195465,0.00552586103078835,3.12918589767192,2.00695016042258,4.87894745733352,4.80410440268516e-07
"643",1.94091592048856,1.49830356887404,2.51427994210607,5.11947112876869e-07,2.84404383537493,2.28438952969301,3.5408082695166,8.85623382798837e-21
"644",4.48984488152596,2.79688219204065,7.20756387864042,5.0048948849625e-10,2.54264256019925,2.02465421036351,3.19315325839066,9.82711155441367e-16
"645",8.3308739595503,1.16922879440689,59.3583234196,0.0343433655458909,2.56806247969272,2.10238989859832,3.13688003543131,2.48437026320312e-20
"646",2.16842600993239,1.50155944861656,3.13145867443574,3.65992407697772e-05,2.80525694113411,2.05515572404702,3.82913392581487,8.15988467193611e-11
"647",3.06569070232669,2.30367653548635,4.07976525243727,1.54769501179558e-14,2.70821138914102,2.18745883226023,3.35293575362728,6.01646098393539e-20
"648",3.59991744886755,2.87347485758827,4.51001184313057,8.12961068453179e-29,2.24993476579796,1.74104467193106,2.90756838808257,5.70840544657048e-10
"649",4.0581007914809,2.9585772071381,5.56625055925038,3.70051046338262e-18,2.54351441336267,1.99284426099281,3.24634779426298,6.413972992844e-14
"650",1.83958349135283,1.36351280538858,2.48187432364704,6.62874537746997e-05,3.95039301934239,2.84660587286603,5.48217972709969,2.08560744210969e-16
"651",2.76662538928835,2.15639506178043,3.5495425584657,1.20462546692951e-15,7.06891545115867,2.26882473512208,22.0244273971832,0.000743810293023118
"652",2.73981572176746,2.09539218664351,3.58242730744765,1.74662338461482e-13,3.34822809162488,2.15521033782269,5.20164141606318,7.60409828816133e-08
"653",2.29128678490463,1.8671700993853,2.81173907637389,2.03802000673107e-15,5.21205785039937,3.15725278843584,8.60417231569474,1.0802347614357e-10
"654",3.36112927690138,2.69648412841504,4.18960004140057,4.09688749035051e-27,0.938456980355046,0.769990401005392,1.1437824456346,0.52921599549008
"655",2.94405665871857,2.34827501522139,3.69099426326264,7.98001986397566e-21,2.38976768211819,1.94988629126184,2.92888339186219,4.70607622381707e-17
"656",2.52374431746679,2.02402368096316,3.14684331011138,1.98712354857373e-16,2.54530209614237,2.0213708945298,3.20503415684818,1.94300370441535e-15
"657",28.40917440647,3.99097787132467,202.226425823139,0.000831507200087268,2.42365528162702,1.93793922904147,3.03110894094649,8.62155867909594e-15
"658",2.31662077796285,1.89424546897355,2.83317654274096,2.83368113531374e-16,3.27703136363963,2.51736553050422,4.26594168711242,1.1329880199926e-18
"659",3.3680430246843,2.37855605483387,4.76915975684957,7.78801217248412e-12,2.3078776384419,1.86489446346481,2.85608612088663,1.45787470113072e-14
"660",2.32233762734994,1.90371218781786,2.83301860959738,9.71371813789957e-17,3.15598942319499,2.1980831814739,4.5313431826724,4.73919642813517e-10
"661",2.5336088306281,2.05647680606385,3.12144230740106,2.48788819054139e-18,4.60604822449017,2.82945839750402,7.49814178750403,8.07690232807581e-10
"662",3.638922990557,2.58971650662984,5.11320852969991,9.84145579699692e-14,2.53768484833309,1.92830267058854,3.33964397170794,3.00055587787603e-11
"663",3.30043936668166,2.59451170376912,4.19843934306314,2.36734969279489e-22,5.49400307853344,3.42069884273658,8.82394832594718,1.82396786180614e-12
"664",2.00644717625628,1.61496165040757,2.49283335619195,3.21452522872383e-10,3.04542717458056,2.44633974461628,3.7912259309381,2.18065126936509e-23
"665",3.2341972872745,2.52056115602251,4.1498822863397,2.75371436355734e-20,6.40281226766024,3.41516600418536,12.0041031342719,7.03475231980593e-09
"666",2.0812415241337,1.6745800626245,2.58665821865196,3.8966002657672e-11,2.17355507835845,1.77519479947511,2.66130887723123,5.64736752555035e-14
"667",2.32243784950432,1.89881686338046,2.8405675496308,2.39089824607089e-16,3.80430851465526,2.74061144727044,5.28085193874999,1.40283687703537e-15
"668",3.28721333977938,2.44289376809639,4.42334893246046,3.93111460646207e-15,2.52150671289877,2.01985064235797,3.14775556660528,3.04841993973375e-16
"669",1.88059326610221,1.43171942308989,2.47019840303369,5.64702483388327e-06,4.72041548812571,2.97288123857506,7.49519425512513,4.75271511558464e-11
"670",1.77871479441088,1.22882665825303,2.5746725940614,0.00227320783054542,4.42424286433813,2.81911459828148,6.94328812832902,9.9766551778779e-11
"671",3.8257045211921,2.73169153797489,5.35785789867032,5.8288815535315e-15,6.54754574428773,3.83608825241722,11.1755393652705,5.63085713337779e-12
"672",3.51863570962381,2.34481902942085,5.28006515713827,1.23706469162859e-09,2.35018187264711,1.87672769250867,2.94307738760751,9.71893147319193e-14
"673",2.99174449342328,2.36403422052055,3.78612755950615,7.45455551546974e-20,3.86202853499897,2.71655790258127,5.49050119306269,5.18209832298176e-14
"674",2.63763223454839,2.14699062884482,3.24039784396823,2.55530075404454e-20,2.57190334554267,2.10567330744531,3.14136423510009,2.10540024986841e-20
"675",2.68739795643248,2.09822222542779,3.4420128090889,4.9138765046521e-15,8.3195756873346,1.16816391442013,59.2513933728615,0.034417784631771
"676",3.12124916575224,2.5112009188211,3.8794969696342,1.0859572743646e-24,2.53820078485607,2.06509796108092,3.11968891823022,8.72894444449344e-19
"677",3.32268780671989,2.58967513323029,4.26318116865637,3.63849044228983e-21,2.54032422687575,2.07525053551224,3.10962318391066,1.61848679388509e-19
"678",2.91754263531539,2.3683234231366,3.59412694471001,8.09717975799328e-24,3.05509816834385,2.45763371796325,3.79780955558876,8.40643507474789e-24
"679",4.34917345224779,3.24408825933489,5.83070132673116,8.52190886903656e-23,4.62553850163029,3.48672439048727,6.13630560776102,2.37522480003258e-26
"680",3.33083804074958,2.49136524014633,4.45317365552266,4.62445654110482e-16,3.03575568984922,1.77977874798676,5.17806644161618,4.58187776711227e-05
"681",5.03326810158806,2.59824410484003,9.75034937451486,1.66619291725683e-06,3.90197503180705,2.8399795009836,5.36109825566432,4.47738720187656e-17
"682",3.33211865906104,2.53432898824273,4.38104713696284,6.71417837184947e-18,3.79484377040766,2.8386222930563,5.07317908304618,2.18930359970047e-19
"683",3.44996475916476,2.5733861725361,4.62513437217583,1.23394187342283e-16,2.54389724213964,2.06961327596695,3.12687073170332,7.37300346494242e-19
"684",3.79232745701874,2.82265043709406,5.09512171690105,8.97901978761475e-19,2.19229943436265,1.79000100604912,2.68501346852032,3.23350109616354e-14
"685",2.6005389522852,2.11731505509428,3.19404654781122,8.08000686154451e-20,2.63576893524844,2.12765243911602,3.26523155394077,7.31866201940399e-19
"686",1.53568419600858,0.818807144145858,2.88019708515198,0.1812426999288,3.4336956442723,1.53213571392126,7.69531424035489,0.00273336613679652
"687",6.85442709886792,1.70768597879896,27.5127695823438,0.00663423072041933,2.24015568026127,1.79091639438438,2.8020836078905,1.63082696751511e-12
"688",3.53858811112102,2.48813070190257,5.03253539317378,2.02692344466635e-12,2.44950081118325,1.5429128505319,3.8887836224314,0.000145335797403905
"689",2.52628631314551,2.06323238279927,3.09326404005324,2.94088658078215e-19,2.16103890728996,1.75731686554168,2.65751114690489,2.80819260250841e-13
"690",2.65558968534409,2.13984271094629,3.29564249784849,7.6589639275989e-19,3.9021335809326,3.05001021424197,4.99232639036465,2.45339649626213e-27
"691",2.57157875150876,2.01052017182938,3.28920712553417,5.4177408516737e-14,2.30962113366429,1.83222263870043,2.91140916414629,1.38631008317409e-12
"692",2.5877237741244,2.05131526718275,3.26440037682029,1.04030973036628e-15,25.6689389164252,3.60526687856429,182.758849008581,0.00119340840559942
"693",2.64643890394437,2.15741347737135,3.24631274707883,9.96926105335552e-21,12.4013536238069,3.08932335115417,49.7822837629644,0.000384360009398684
"694",2.19836205004921,1.79390606425113,2.6940071163169,3.11385279591635e-14,2.99916537862246,2.43561042960928,3.69311646024221,4.51619929530047e-25
"695",2.70509342002066,2.03870748300671,3.58929884352368,5.33517409036708e-12,3.26631632223081,2.46807230597014,4.32273490977719,1.24399703450499e-16
